dummy,dummy,dummy,dummy
0316_2018,Lunch,Chicken,12:31
0320_2018,Disert,Ice cream,20:04
0321_2018,Dinner,Gimbap and ddukboki,18:31
0323_2018,Dinner,Chicken Fried Rice,18:42
0325_2018,Lunch,Steak,12:27
0327_2018,Breakfast,OatMeal,8:12
0328_2018,Breakfast,Bagel_Banana_Cereal_Milk,7:45
0329_2018,Breakfast,Coffee_Bagel,8:06
0330_2018,Breakfast,Banana_Bagel_ScrambeledEgg,9:31
0331_2018,Late Lunch,BBQ,16:41
0401_2018,Breakfast,Bagel,8:53
0402_2018,Breakfast,Cereal,8:29
0402_2018,Dinner,Sujebi,19:35
0403_2018,Breakfast,ChocolateCookie_Cereal,8:12
0403_2018,Dinner,Galbi,19:27
0404_2018,Breakfast,Cereal_Cookie,7:50
0404_2018,Dinner,Ramen,18:14
0405_2018,Dinner,Pork_Kimchi Jjigae,19:13
0406_2018,Breakfast,Oragne_Oatmeal,8:13
0406_2018,Dinner,Thai,18:49
0407_2018,Breakfast,Bagel_Coffee,10:01
0408_2018,Dinner,Steak and wine,19:50
0410_2018,Dinner,Pasta,19:37
0411_2018,Breakfast,Coffee_Bagel,8:47
0412_2018,Dinner,Fried Ramen,19:34
0414_2018,Lunch,Miyeok Guk and sweet garlic chicken,15:45
0414_2018,Dinner,Chicken and beer,21:50
0415_2018,Lunch,Dumpling Soup,13:00
0415_2018,Dinner,Chicken and beer,19:51
0416_2018,Dinner,Fried Rice,18:49
0417_2018,Breakfast,Cereal,8:16
0418_2018,Breakfast,Cereal,8:10
0419_2018,Dinner,Tteokbokki,19:44
0420_2018,Breakfast,Begel_Coffee,8:20
0420_2018,Dinner,Budae Jjigae,19:14
0423_2018,Breakfast,Bagel_Coffee,8:19
0425_2018,Dinner,Pork Belly,19:46
0501_2018,Dinner,Spicy Chicken Fried Rice,19:41
0506_2018,Breakfast,Bagel,10:35
0506_2018,Lunch,Spicy Ramen,14:24
0506_2018,Dinner,Pork Belly and beer,19:27
0507_2018,Breakfast,Pie,8:13
0507_2018,Dinner,Odeng_Fried Rice,18:50
0508_2018,Breakfast,Strawberry Smoothie,7:46
0509_2018,Breakfast,French Toast,8:15
0510_2018,Dinner,Duck BBQ,18:15
0511_2018,Breakfast,French Toast,8:09
0514_2018,Breakfast,Bagel,8:34
0514_2018,Dinner,Spicy Ramen,18:15
0515_2018,Breakfast,Bagel,8:29
0515_2018,Dinner,Pork BBQ,19:31
0516_2018,Breakfast,Bagel,7:52
0517_2018,Dinner,Gimbap,19:17
0518_2018,Lunch,Ramen,13:36
0524_2018,Dinner,Chiken,19:05
0527_2018,Dinner,chicken soup,20:00
0528_2018,Dinner,Pizza,17:00
0529_2018,Breakfast,Green Juice,8:42
0531_2018,Lunch,Gimbap,12:06
0610_2018,Lunch,Chicken Fried Rice,13:59
0615_2018,Dinner,chicken soup,19:18
0621_2018,Dinner,Steak,19:00
0622_2018,Dinner,Spaghetti,19:09
0627_2018,Lunch,Sweet Spicy Friend Chiken ,12:04
0629_2018,Dinner,Dumpling Soup,18:23
0701_2018,Breakfast,Bread and Egg,10:18
0701_2018,Lunch,Halal Guys,14:07
0702_2018,Dinner,Pork Belly,19:26
0703_2018,Lunch,Spicy Tofu soup and Pajeon and  Dotori mook,11:59
0705_2018,Lunch,Ma po Tofu,11:57
0705_2018,Dinner,Dumpling and fried udon,19:00
0710_2018,Lunch,Breakfast Burrito,13:25
0713_2018,Lunch,Pork belly,12:21
0716_2018,Dinner,Bulgogi jeongol,18:26
0722_2018,Breakfast,Omlette and mushroom,9:56
0723_2018,Lunch,Panda (Orange Chicken and Beijing Beef),13:07
0724_2018,Lunch,Kimchi Pork,12:17
0725_2018,Lunch,Breakfast Burrito,13:12
0725_2018,Dinner,Bulgogi,18:59
0726_2018,Breakfast,Oatmeal,8:16
0731_2018,Lunch,Sweet Bread & Oatmeal,12:40
0731_2018,Dinner,Beef Dumpling and Bibim Guksu,18:24
0802_2018,Lunch,Orange Chicken and Gim Gui,12:01
0802_2018,Dinner,Spicy Ramen,18:41
0806_2018,Breakfast,French Toast and Coffee,9:21
0807_2018,Lunch,Spicy Pork,12:40
0807_2018,Dinner,Garlic Chicken Pizza (CPK) and Beer (Heineken),19:28
0809_2018,Lunch,Superem Burrito,12:35
0809_2018,Dinner,Roasted Chicken (Whole Foods) cheese sausage pizza,19:50
0810_2018,Dinner,Spicy Ramen,17:15
0813_2018,Dinner,Dwejigogi suyook,19:43
0815_2018,Lunch,Croissant Sandwich,12:51
0815_2018,Dinner,Jin Ramen,18:58
0820_2018,Lunch,Croissant Sandwich and Coffee,12:51
0822_2018,Lunch,Panda (Orange Chicken and Beijing Beef and Chow Mein and Fried rice),12:42
0823_2018,Lunch,Chick-fil-a (Dr pepper and Spicy Deluxe Sandwich and Waffle fries),12:58
0824_2018,Lunch,Pork marinated soy sauce and gim gui,12:45
0824_2018,Dinner,Daktoritang,18:45
0825_2018,Dinner,Daktoritang (not chickend but sujebi and udong) and steamed egg and chicken wings 2pcs,18:56
0827_2018,Lunch,Croissant Sandwich with ham,13:44
0827_2018,Dinner,Beef Pad Kra Pao,19:27
0828_2018,Lunch,Beef Pad Kra Pao and gim gui,12:40
0828_2018,Dinner,Jin Ramen,18:48
0829_2018,Lunch,Croissant Sandwich,13:19
0829_2018,Dinner,Sukiyaki,18:32
0830_2018,Breakfast,Oatmeal Raisin Cookies (Tates) 4 pieces and hot coffee,8:34
0831_2018,Lunch,Sogogi dubbab,11:49
0831_2018,Dinner,Bonchon Chicken and Beer,19:45
0902_2018,Lunch,Curry,13:21
0903_2018,Lunch,Oden Tang,12:33
0903_2018,Dinner,Blue Moon and Pork Belly,18:56
0904_2018,Lunch,Croissant Sandwich,13:26
0904_2018,Dinner,Pork don,19:27
0904_2018,Snack,Blue Moon,19:47
0905_2018,Dinner,Myulchi Bbokgum and dubu jorim,19:11
0906_2018,Lunch,Myulchi Bbokgum and dubu jorim,12:17
